年度,縣市別,行業別,統計項目,單位,中小企業(家),大企業(家)
2014,基隆市,製造業,家數,家,680,18
2014,宜蘭縣,製造業,家數,家,2370,50
2014,新竹市,製造業,家數,家,2359,235
2014,新竹縣,製造業,家數,家,2643,318
2014,苗栗縣,製造業,家數,家,2603,136
2014,彰化縣,製造業,家數,家,17294,272
2014,南投縣,製造業,家數,家,1729,69
2014,雲林縣,製造業,家數,家,2174,57
2014,嘉義市,製造業,家數,家,820, 
2014,嘉義縣,製造業,家數,家,1907,55
2014,屏東縣,製造業,家數,家,1539,73
2014,澎湖縣,製造業,家數,家,232,0
2014,花蓮縣,製造業,家數,家,688,7
2014,臺東縣,製造業,家數,家,314,0
2014,金門縣,製造業,家數,家,186, 
2014,連江縣,製造業,家數,家,26, 
2014,總計,電力及燃氣供應業,家數,家,546,134
2014,臺北市,電力及燃氣供應業,家數,家,72,19
2014,新北市,電力及燃氣供應業,家數,家,56,18
2014,桃園縣,電力及燃氣供應業,家數,家,22,10
2014,臺中市,電力及燃氣供應業,家數,家,51,16
2014,臺南市,電力及燃氣供應業,家數,家,53,9
2014,高雄市,電力及燃氣供應業,家數,家,61,11
2014,基隆市,電力及燃氣供應業,家數,家,, 
2014,宜蘭縣,電力及燃氣供應業,家數,家,, 
2014,新竹市,電力及燃氣供應業,家數,家,9, 
2014,新竹縣,電力及燃氣供應業,家數,家,12, 
2014,苗栗縣,電力及燃氣供應業,家數,家,17, 
2014,彰化縣,電力及燃氣供應業,家數,家,59,6
2014,南投縣,電力及燃氣供應業,家數,家,, 
2014,雲林縣,電力及燃氣供應業,家數,家,41, 
2014,嘉義市,電力及燃氣供應業,家數,家,11, 
2014,嘉義縣,電力及燃氣供應業,家數,家,27, 
2014,屏東縣,電力及燃氣供應業,家數,家,28, 
2014,澎湖縣,電力及燃氣供應業,家數,家,0, 
2014,花蓮縣,電力及燃氣供應業,家數,家,6, 
2014,臺東縣,電力及燃氣供應業,家數,家,6, 
2014,金門縣,電力及燃氣供應業,家數,家,, 
2014,連江縣,電力及燃氣供應業,家數,家,0, 
2014,總計,用水供應及污染整治業,家數,家,7155,325
2014,臺北市,用水供應及污染整治業,家數,家,615,36
2014,新北市,用水供應及污染整治業,家數,家,895,39
2014,桃園縣,用水供應及污染整治業,家數,家,742,59
2014,臺中市,用水供應及污染整治業,家數,家,884,36
2014,臺南市,用水供應及污染整治業,家數,家,572,29
2014,高雄市,用水供應及污染整治業,家數,家,1121,55
2014,基隆市,用水供應及污染整治業,家數,家,120, 
2014,宜蘭縣,用水供應及污染整治業,家數,家,109, 
2014,新竹市,用水供應及污染整治業,家數,家,147, 
